LAT;LONG;ALT
-36,831405;149,703751;259
-36,831397;149,704134;248
-36,831388;149,704516;248
-36,831379;149,704899;240
-36,831371;149,705282;240
-36,831362;149,705664;255
-36,831353;149,706047;255
-36,831344;149,706430;264
-36,831336;149,706813;264
-36,831327;149,707195;259
-36,831318;149,707578;259
-36,831309;149,707961;255
-36,831301;149,708344;255
-36,831292;149,708726;255
-36,831283;149,709109;262
-36,831275;149,709492;262
-36,831266;149,709874;266
-36,831257;149,710257;266
-36,831248;149,710640;264
-36,831240;149,711023;264
-36,831231;149,711405;273
-36,831222;149,711788;273
-36,831213;149,712171;273
-36,831205;149,712554;290
-36,831196;149,712936;290
-36,831187;149,713319;302
-36,831178;149,713702;200
-36,831170;149,714084;298
-36,831161;149,714467;298
-36,831152;149,714850;277
-36,831144;149,715233;277
-36,831135;149,715615;252
-36,831126;149,715998;252
-36,831117;149,716381;224
-36,831109;149,716764;224
-36,831100;149,717146;200
-36,831091;149,717529;200
-36,831082;149,717912;200
-36,831073;149,718294;194
-36,831065;149,718677;194
-36,832008;149,690749;257
-36,832000;149,691131;257
-36,831991;149,691514;240
-36,831982;149,691897;240
-36,831974;149,692280;227
-36,831965;149,692662;227
-36,831956;149,693045;221
-36,831948;149,693428;221
-36,831939;149,693810;221
-36,831930;149,694193;211
-36,831922;149,694576;211
-36,831913;149,694959;205
-36,831904;149,695341;205
-36,831896;149,695724;214
-36,831887;149,696107;214
-36,831878;149,696490;224
-36,831870;149,696872;224
-36,831861;149,697255;238
-36,831852;149,697638;238
-36,831844;149,698021;246
-36,831835;149,698403;246
-36,831826;149,698786;253
-36,831817;149,699169;253
-36,831809;149,699552;253
-36,831800;149,699934;250
-36,831791;149,700317;250
-36,831783;149,700700;245
-36,831774;149,701082;245
-36,831765;149,701465;251
-36,831757;149,701848;251
-36,831748;149,702231;258
-36,831739;149,702613;258
-36,831730;149,702996;258
-36,831722;149,703379;259
-36,831713;149,703762;259
-36,831704;149,704144;248
-36,831696;149,704527;248
-36,831687;149,704910;240
-36,831678;149,705293;240
-36,831669;149,705675;255
-36,831661;149,706058;255
-36,831652;149,706441;264
-36,831643;149,706823;264
-36,831635;149,707206;259
-36,831626;149,707589;259
-36,831617;149,707972;255
-36,831608;149,708354;255
-36,831600;149,708737;255
-36,831591;149,709120;262
-36,831582;149,709503;262
-36,831574;149,709885;266
-36,831565;149,710268;266
-36,831556;149,710651;264
-36,831547;149,711034;264
-36,831539;149,711416;273
-36,831530;149,711799;273
-36,831521;149,712182;273
