LONG;LAT
149.7144024528;-36.8293155357
149.7147851715;-36.8293067915
149.7151678901;-36.829298046
149.7155506085;-36.8292892993
149.7159333267;-36.8292805514
149.7163160448;-36.8292718022
149.7166987627;-36.8292630518
149.7170814805;-36.8292543002
149.717464198;-36.8292455473
149.7178469154;-36.8292367933
149.7182296327;-36.8292280379
149.7186123498;-36.8292192814
149.6906843519;-36.8301629427
149.6910670824;-36.8301542746
149.6914498127;-36.8301456053
149.6918325428;-36.8301369348
149.6922152727;-36.830128263
149.6925980025;-36.83011959
149.6929807322;-36.8301109158
149.6933634617;-36.8301022404
149.693746191;-36.8300935637
149.6941289201;-36.8300848858
149.6945116491;-36.8300762066
149.6948943779;-36.8300675263
149.6952771066;-36.8300588447
149.695659835;-36.8300501618
149.6960425634;-36.8300414778
149.6964252915;-36.8300327925
149.6968080195;-36.830024106
149.6971907474;-36.8300154182
149.697573475;-36.8300067292
149.6979562025;-36.829998039
149.6983389299;-36.8299893476
149.698721657;-36.8299806549
149.699104384;-36.829971961
149.6994871109;-36.8299632659
149.6998698376;-36.8299545695
149.7002525641;-36.8299458719
149.7006352905;-36.8299371731
149.7010180166;-36.829928473
149.7014007427;-36.8299197717
149.7017834685;-36.8299110692
149.7021661942;-36.8299023655
149.7025489198;-36.8298936605
149.7029316451;-36.8298849543
149.7033143703;-36.8298762468
149.7036970954;-36.8298675382
149.7040798203;-36.8298588283
149.704462545;-36.8298501172
149.7048452695;-36.8298414048
149.7052279939;-36.8298326912
149.7056107181;-36.8298239764
149.7059934422;-36.8298152603
149.7063761661;-36.8298065431
149.7067588898;-36.8297978246
149.7071416133;-36.8297891048
149.7075243367;-36.8297803839
149.70790706;-36.8297716617
149.708289783;-36.8297629382
149.7086725059;-36.8297542136
149.7090552287;-36.8297454877
149.7094379512;-36.8297367606
149.7098206736;-36.8297280322
149.7102033959;-36.8297193026
149.710586118;-36.8297105718
149.7109688399;-36.8297018398
149.7113515616;-36.8296931065
149.7117342832;-36.829684372
149.7121170046;-36.8296756363
149.7124997259;-36.8296668993
149.7128824469;-36.8296581611
149.7132651679;-36.8296494217
149.7136478886;-36.8296406811
149.7140306092;-36.8296319392
149.7144133296;-36.8296231961
149.7147960499;-36.8296144517
149.71517877;-36.8296057062
149.7155614899;-36.8295969594
149.7159442097;-36.8295882113
149.7163269293;-36.8295794621
149.7167096487;-36.8295707116
149.717092368;-36.8295619598
149.7174750871;-36.8295532069
149.7178578061;-36.8295444527
149.7182405248;-36.8295356973
149.7186232434;-36.8295269407
149.6906951341;-36.830470609
149.6910778661;-36.8304619408
149.6914605979;-36.8304532715
149.6918433296;-36.8304446008
149.6922260611;-36.830435929
149.6926087924;-36.8304272559
149.6929915236;-36.8304185816
149.6933742546;-36.830409906
149.6937569854;-36.8304012292
149.6941397161;-36.8303925512
149.6945224466;-36.830383872
149.6949051769;-36.8303751915
149.6952879071;-36.8303665098
149.6956706371;-36.8303578269
149.696053367;-36.8303491427
149.6964360967;-36.8303404574
149.6968188262;-36.8303317707
149.6972015556;-36.8303230829
149.6975842848;-36.8303143938
149.6979670138;-36.8303057035
149.6983497427;-36.830297012
149.6987324714;-36.8302883192
149.6991151999;-36.8302796252
149.6994979283;-36.8302709299
149.6998806565;-36.8302622335
149.7002633845;-36.8302535358
149.7006461124;-36.8302448369
149.7010288401;-36.8302361367
149.7014115677;-36.8302274353
149.7017942951;-36.8302187327
149.7021770223;-36.8302100289
149.7025597494;-36.8302013238
149.7029424763;-36.8301926175
149.703325203;-36.83018391
149.7037079296;-36.8301752012
149.704090656;-36.8301664912
149.7044733822;-36.83015778
